"label","Project_Name","Project_Budget","Client_ID","Domain_Skill","Location_Index","City_Name","Country","ISO","Admin_Name","lat","lng","Client_Name","Project_Budget2"
"OPENTEXT IMAGING SOLUTIONS - $2,061,979","OPENTEXT IMAGING SOLUTIONS",2061978.8,74,"AI",18,"Nice","France","FRA","Provence-Alpes-Cote dAzur",43.7034,7.2663,"Barings","$2,061,979"
"RETAIL CREDIT RISK : INTERNATIONAL ADVANCED MODEL ROADMAP - $256,266","RETAIL CREDIT RISK : INTERNATIONAL ADVANCED MODEL ROADMAP",256266.1,338,"AI",18,"Nice","France","FRA","Provence-Alpes-Cote dAzur",43.7034,7.2663,"Jupiter","$256,266"
"TARDIS PHASE 2 - $3,430,135","TARDIS PHASE 2",3430134.6,366,"AI",18,"Nice","France","FRA","Provence-Alpes-Cote dAzur",43.7034,7.2663,"Link Asset Services","$3,430,135"
"GBM AML RISK TRANSACTION MONITORING - AMA TM LABS - $6,175,701","GBM AML RISK TRANSACTION MONITORING - AMA TM LABS",6175700.78,486,"AI",19,"Toulouse","France","FRA","Occitanie",43.6045,1.444,"Quintet Private Bank","$6,175,701"
"AML - ORACLE TACTICAL MODEL REMEDIATION - $811,875","AML - ORACLE TACTICAL MODEL REMEDIATION",811875,215,"AI",20,"Marseille","France","FRA","Provence-Alpes-Cote dAzur",43.2964,5.37,"European Securities and Markets Authority (ESMA)","$811,875"
"SINGAPORE MAS - $145,000","SINGAPORE MAS",145000,523,"AI",20,"Marseille","France","FRA","Provence-Alpes-Cote dAzur",43.2964,5.37,"Sanne","$145,000"
"MIPS MAINFRAME REDUCTION (PHASE 2) - $646,326","MIPS MAINFRAME REDUCTION (PHASE 2)",646326.1,479,"AI",21,"Berlin","Germany","DEU","Berlin",52.5167,13.3833,"PWC Japan","$646,326"
"ELECTRONIC DISCOVERY ENHANCEMENTS - $1,199,133","ELECTRONIC DISCOVERY ENHANCEMENTS",1199133.3,81,"AI",22,"Hamburg","Germany","DEU","Hamburg",53.55,10,"BI-SAM","$1,199,133"
"BAHAMAS INSURANCE AGENCY - $11,177,922","BAHAMAS INSURANCE AGENCY",11177921.68,372,"AI",22,"Hamburg","Germany","DEU","Hamburg",53.55,10,"Local Pensions Partnership Investments Ltd","$11,177,922"
"SMART AUTOMATIONS N ITS SERVICES CARIBBEAN - $528,900","SMART AUTOMATIONS N ITS SERVICES CARIBBEAN",528900,79,"AI",23,"Munich","Germany","DEU","Bavaria",48.1372,11.5755,"Behind Every Cloud","$528,900"
"RM 2021 AMCP MAINTENANCE - $10,539,812","RM 2021 AMCP MAINTENANCE",10539812.1,243,"AI",26,"Bangalore","India","IND","Karnataka",12.9699,77.598,"FNZ","$10,539,812"
"GEMALTO - $1,530,450","GEMALTO",1530450,374,"AI",26,"Bangalore","India","IND","Karnataka",12.9699,77.598,"Lombard","$1,530,450"
"RDARR RECON REMEDIATION - $7,862,245","RDARR RECON REMEDIATION",7862244.7,448,"AI",27,"Jakarta","Indonesia","IDN","Jakarta",-6.2146,106.8451,"Octopus Investments","$7,862,245"
"MORTGAGE PROTECTION PRODUCT ENHANCEMENTS - $282,280","MORTGAGE PROTECTION PRODUCT ENHANCEMENTS",282280,149,"AI",28,"Rome","Italy","ITA","Lazio",41.8931,12.4828,"CoFunds","$282,280"
"DDS REPLACEMENT - ITLG - $2,883,197","DDS REPLACEMENT - ITLG",2883197,537,"AI",28,"Rome","Italy","ITA","Lazio",41.8931,12.4828,"SEI","$2,883,197"
"GC - CT ISSUES MANAGEMENT INCREMENTAL FY21 - $451,625","GC - CT ISSUES MANAGEMENT INCREMENTAL FY21",451625,156,"AI",29,"Milan","Italy","ITA","Lombardy",45.4669,9.19,"Cordium","$451,625"
"REGULATORY CAPITAL PLATFORM MODERNIZATION - $530,000","REGULATORY CAPITAL PLATFORM MODERNIZATION",530000,447,"AI",29,"Milan","Italy","ITA","Lombardy",45.4669,9.19,"Ocorian","$530,000"
"ECOMMS SURVEILLANCE - BEHAVOX BRAZIL - $420,000","ECOMMS SURVEILLANCE - BEHAVOX BRAZIL",420000,478,"AI",29,"Milan","Italy","ITA","Lombardy",45.4669,9.19,"PWC","$420,000"
"ECOMMS SURVEILLANCE - BEHAVOX PERU - $2,725,754","ECOMMS SURVEILLANCE - BEHAVOX PERU",2725754,610,"AI",29,"Milan","Italy","ITA","Lombardy",45.4669,9.19,"Veritas Investment Management","$2,725,754"
"ENT 003 - NS - IB - $513,500","ENT 003 - NS - IB",513500,631,"AI",29,"Milan","Italy","ITA","Lombardy",45.4669,9.19,"Wipro","$513,500"
"TORONTO CONTACT CENTRE TRANSFORMATION - $1,080,000","TORONTO CONTACT CENTRE TRANSFORMATION",1080000,344,"AI",30,"Tokyo","Japan","JPN","Tokyo",35.6897,139.6922,"KDPW","$1,080,000"
"AML PMO - $957,626","AML PMO",957626.1,90,"AI",31,"Osaka","Japan","JPN","Osaka",34.6936,135.5019,"BNY Mellon","$957,626"
"WAY WE WORK EGLINTON ECOSYSTEM 3 - $1,123,858","WAY WE WORK EGLINTON ECOSYSTEM 3",1123858.1,294,"AI",32,"Kyoto","Japan","JPN","Ky<U+00A8><U+00AD>to",35.0111,135.7669,"Independent Franchise Partners","$1,123,858"
"SCO NAVIGATION AND ACCESSIBILITY ENHANCEMENTS - $2,400,000","SCO NAVIGATION AND ACCESSIBILITY ENHANCEMENTS",2400000,317,"AI",33,"Kuala Lumpur","Malaysia","MYS","Kuala Lumpur",3.1478,101.6953,"Jake Pugh View","$2,400,000"
"BREXIT PROJECT - $11,286,648","BREXIT PROJECT",11286647.89,155,"AI",34,"Mexico City","Mexico","MEX","Ciudad de Mexico",19.4333,-99.1333,"Contemi","$11,286,648"
"CARIBBEAN TSYS ROLLOUT - $2,778,171","CARIBBEAN TSYS ROLLOUT",2778170.93,118,"AI",35,"Manila","Philippines","PHL","Manila",14.5958,120.9772,"Capita","$2,778,171"
"TAMLO BAU MAINTENANCE - TM WIRES - $1,080,223","TAMLO BAU MAINTENANCE - TM WIRES",1080223.3,390,"AI",35,"Manila","Philippines","PHL","Manila",14.5958,120.9772,"Merval","$1,080,223"
"CDIC RESOLUTION PLANNING - BAIL IN - $2,015,967","CDIC RESOLUTION PLANNING - BAIL IN",2015966.86,403,"AI",35,"Manila","Philippines","PHL","Manila",14.5958,120.9772,"Munnypot","$2,015,967"
"FIREWALL POLICY MANAGEMENT AUTOMATION - $19,242,373","FIREWALL POLICY MANAGEMENT AUTOMATION",19242373.48,365,"AI",36,"Moscow","Russia","RUS","Moskva",55.7558,37.6178,"Linear Investments Limited","$19,242,373"
"GLOBAL COMMUNICATIONS NEWSROOM PROJECT - $6,346,250","GLOBAL COMMUNICATIONS NEWSROOM PROJECT",6346250,529,"AI",36,"Moscow","Russia","RUS","Moskva",55.7558,37.6178,"Saunderson House","$6,346,250"
"BRAZIL BROKERAGE HOUSE - $112,000","BRAZIL BROKERAGE HOUSE",112000,571,"AI",36,"Moscow","Russia","RUS","Moskva",55.7558,37.6178,"TAM Asset Management","$112,000"
"DEPOSITS PRICING OPTIMIZATION - $1,176,589","DEPOSITS PRICING OPTIMIZATION",1176588.8,283,"AI",37,"Bangkok","Thailand","THA","Krung Thep Maha Nakhon",13.75,100.5167,"HSBC Wealth Management","$1,176,589"
"CONTACTLESS ENHANCEMENTS - $1,755,112","CONTACTLESS ENHANCEMENTS",1755111.8,387,"AI",37,"Bangkok","Thailand","THA","Krung Thep Maha Nakhon",13.75,100.5167,"Mercer Private Wealth","$1,755,112"
"DIVESTITURE OF SCOTIABANK GUYANA - $13,861,056","DIVESTITURE OF SCOTIABANK GUYANA",13861056.2,601,"AI",37,"Bangkok","Thailand","THA","Krung Thep Maha Nakhon",13.75,100.5167,"UBS","$13,861,056"
"RM - F2020 ABM & CRU STEADY STATE CONNEX - $801,858","RM - F2020 ABM & CRU STEADY STATE CONNEX",801858.4,338,"AI",39,"London","United Kingdom","GBR","London, City of",51.5072,-0.1275,"Jupiter","$801,858"
"RR PROJECT BLOOM - $220,527","RR PROJECT BLOOM",220527.42,602,"AI",39,"London","United Kingdom","GBR","London, City of",51.5072,-0.1275,"UK Finance","$220,527"
"BRANCH WFH - $189,000","BRANCH WFH",189000,317,"AI",40,"Birmingham","United Kingdom","GBR","Birmingham",52.48,-1.9025,"Jake Pugh View","$189,000"
"REGULATORY REPORTING - $310,000","REGULATORY REPORTING",310000,383,"AI",40,"Birmingham","United Kingdom","GBR","Birmingham",52.48,-1.9025,"Martin Currie","$310,000"
"PROJECT HARMONY - $300,870","PROJECT HARMONY",300870,634,"AI",40,"Birmingham","United Kingdom","GBR","Birmingham",52.48,-1.9025,"Women on Boards","$300,870"
"APPLAUSE INTEGRATIONS - $369,400","APPLAUSE INTEGRATIONS",369400,370,"AI",41,"Manchester","United Kingdom","GBR","Manchester",53.4794,-2.2453,"Lloyds Business Banking","$369,400"
"RM 2021 TLS MAINTENANCE - $2,306,555","RM 2021 TLS MAINTENANCE",2306555,561,"AI",41,"Manchester","United Kingdom","GBR","Manchester",53.4794,-2.2453,"States of Guernsey","$2,306,555"
"SOL ENHANCEMENTS N SCORE UPGRADE - $761,101","SOL ENHANCEMENTS N SCORE UPGRADE",761101.2,182,"AI",42,"Leeds","United Kingdom","GBR","Leeds",53.7997,-1.5492,"Deutsche Bank Wealth","$761,101"
"GWO GLOBAL RECONCILIATION PLATFORM - $343,429","GWO GLOBAL RECONCILIATION PLATFORM",343429,358,"AI",42,"Leeds","United Kingdom","GBR","Leeds",53.7997,-1.5492,"Lazard Asset Management","$343,429"
"JOURNEY ACCOUNT STANDARDIZATION - $25,397,975","JOURNEY ACCOUNT STANDARDIZATION",25397975,401,"AI",42,"Leeds","United Kingdom","GBR","Leeds",53.7997,-1.5492,"Morgan Stanley","$25,397,975"
"RM 2021 MHUB MAINTENANCE - $3,534,288","RM 2021 MHUB MAINTENANCE",3534288.1,419,"AI",42,"Leeds","United Kingdom","GBR","Leeds",53.7997,-1.5492,"Newedge","$3,534,288"
"DP-SERVICE-NOW EXCEPTION REQUEST FORM ENHANCEMENT - $1,960,000","DP-SERVICE-NOW EXCEPTION REQUEST FORM ENHANCEMENT",1960000,429,"AI",42,"Leeds","United Kingdom","GBR","Leeds",53.7997,-1.5492,"NOMURA ASSET MANAGEMENT","$1,960,000"
"ABM NEW FUNCTIONALITY - $3,945,856","ABM NEW FUNCTIONALITY",3945855.8,568,"AI",42,"Leeds","United Kingdom","GBR","Leeds",53.7997,-1.5492,"Tactex","$3,945,856"
"ACCOUNTS PAYABLE WAVE 3 - $1,030,519","ACCOUNTS PAYABLE WAVE 3",1030518.7,47,"AI",46,"Liverpool","United Kingdom","GBR","Liverpool",53.4,-2.9833,"ASX","$1,030,519"
"IFRS 17 - $27,033,453","IFRS 17",27033452.8,60,"AI",47,"New York","United States","USA","New York",40.6943,-73.9249,"Baer Capital Partners","$27,033,453"
"TAMLO BAU MAINTENANCE - NAME SCREENING - $254,994","TAMLO BAU MAINTENANCE - NAME SCREENING",254994.5,74,"AI",47,"New York","United States","USA","New York",40.6943,-73.9249,"Barings","$254,994"
"CRISP - CROSS REPORT INTEGRITY SUBSTANTIATION PROCESS - $283,600","CRISP - CROSS REPORT INTEGRITY SUBSTANTIATION PROCESS",283600,580,"AI",47,"New York","United States","USA","New York",40.6943,-73.9249,"The Pensions Advisory Service","$283,600"
"ABM MODERNIZATION - $38,484,066","ABM MODERNIZATION",38484065.6,614,"AI",47,"New York","United States","USA","New York",40.6943,-73.9249,"Vietcombank","$38,484,066"
"BUSINESS BANKING SERVICES LAYER (BBSL) - $3,170,600","BUSINESS BANKING SERVICES LAYER (BBSL)",3170599.5,159,"AI",48,"Los Angeles","United States","USA","California",34.1139,-118.4068,"CPA Global","$3,170,600"
"FY 21 CRM TOTAL WEALTH 360 - $768,994","FY 21 CRM TOTAL WEALTH 360",768993.7,324,"AI",48,"Los Angeles","United States","USA","California",34.1139,-118.4068,"Jefferies","$768,994"
"ODP EVOLUTION - $117,500","ODP EVOLUTION",117500,388,"AI",48,"Los Angeles","United States","USA","California",34.1139,-118.4068,"Mercuria Energy Trading SA","$117,500"
"ENTERPRISE RECORDS N INFO MGMT - $1,048,292","ENTERPRISE RECORDS N INFO MGMT",1048292.5,249,"AI",51,"Dallas","United States","USA","Texas",32.7936,-96.7662,"Futures and Options Association (FOA)","$1,048,292"
"RESILIENCY REMEDIATION PROGRAM - $2,586,921","RESILIENCY REMEDIATION PROGRAM",2586920.8,351,"AI",51,"Dallas","United States","USA","Texas",32.7936,-96.7662,"Kleinwort Hambros (CI)","$2,586,921"
"DATA SUB - DOMAIN - $2,022,539","DATA SUB - DOMAIN",2022539.4,516,"AI",51,"Dallas","United States","USA","Texas",32.7936,-96.7662,"SAFCOM","$2,022,539"
"CUSTOMER INTERACTION ECOSYSTEM - DIGITAL FACTORY - $3,899,080","CUSTOMER INTERACTION ECOSYSTEM - DIGITAL FACTORY",3899080,304,"AI",52,"Philadelphia","United States","USA","Pennsylvania",40.0077,-75.1339,"Invesco","$3,899,080"
"CONTAINER SECURITY COMPLIANCE SOLUTION - WAVE 1 - $11,102,714","CONTAINER SECURITY COMPLIANCE SOLUTION - WAVE 1",11102713.8,433,"AI",52,"Philadelphia","United States","USA","Pennsylvania",40.0077,-75.1339,"Northern Trust Jersey","$11,102,714"
"RR SSI FY21 YEAR-END TAX - $1,360,548","RR SSI FY21 YEAR-END TAX",1360548.4,480,"AI",53,"Houston","United States","USA","Texas",29.7863,-95.3889,"Qatar Foundation","$1,360,548"
"RR NI31 103 SIS UPDATE - $306,377","RR NI31 103 SIS UPDATE",306376.6,534,"AI",53,"Houston","United States","USA","Texas",29.7863,-95.3889,"SEB","$306,377"
"MARGIN OPTIMIZATION - $310,000","MARGIN OPTIMIZATION",310000,70,"AI",54,"Atlanta","United States","USA","Georgia",33.7627,-84.4224,"Banking Standards Board","$310,000"
"IB CREDIT RISK SCORECARD STANDARDIZATION - $1,762,002","IB CREDIT RISK SCORECARD STANDARDIZATION",1762002.2,186,"AI",54,"Atlanta","United States","USA","Georgia",33.7627,-84.4224,"Diligenta","$1,762,002"
"RB NEXT GEN - $1,004,481","RB NEXT GEN",1004480.6,365,"AI",54,"Atlanta","United States","USA","Georgia",33.7627,-84.4224,"Linear Investments Limited","$1,004,481"
"DP-ALWAYS ON VPN (FORCE CONNECT - 12000 USERS) - $3,463,087","DP-ALWAYS ON VPN (FORCE CONNECT - 12000 USERS)",3463087.3,125,"AI",55,"Washington","United States","USA","District of Columbia",38.9047,-77.0163,"CFFEX","$3,463,087"
"COVID 19 RESPONSE - COMMERCIAL BOX SOLUTION - $947,286","COVID 19 RESPONSE - COMMERCIAL BOX SOLUTION",947286.1,293,"AI",55,"Washington","United States","USA","District of Columbia",38.9047,-77.0163,"IM Wealth Services","$947,286"
"WSS MM HARDWARE UPGRADE PROJECT - $2,284,955","WSS MM HARDWARE UPGRADE PROJECT",2284955.4,451,"AI",55,"Washington","United States","USA","District of Columbia",38.9047,-77.0163,"Omnis Investments Ltd","$2,284,955"
"CANADA CONTACT CENTRE PLATFORM (FORMERLY CRM WAVE 3) - $5,360,195","CANADA CONTACT CENTRE PLATFORM (FORMERLY CRM WAVE 3)",5360194.6,487,"AI",55,"Washington","United States","USA","District of Columbia",38.9047,-77.0163,"Rabobank","$5,360,195"
"COMPENSATION MODULE - $11,543,929","COMPENSATION MODULE",11543929.3,635,"AI",55,"Washington","United States","USA","District of Columbia",38.9047,-77.0163,"Deutsche Bank Wealth and Investment Banking","$11,543,929"
"AUTOMOTIVE OPERATIONAL MAINTENANCE AND ENHANCEMENT WORK - $383,650","AUTOMOTIVE OPERATIONAL MAINTENANCE AND ENHANCEMENT WORK",383650.5,9,"AI",56,"Boston","United States","USA","Massachusetts",42.3188,-71.0846,"ACPI Investment Managers","$383,650"
"RM IP FALL 2021 RELEASE - $244,000","RM IP FALL 2021 RELEASE",244000,42,"AI",56,"Boston","United States","USA","Massachusetts",42.3188,-71.0846,"Ashcourt Rowan","$244,000"
"CANADIAN TSYS INTEGRATION - $524,500","CANADIAN TSYS INTEGRATION",524500,629,"AI",56,"Boston","United States","USA","Massachusetts",42.3188,-71.0846,"Willis Towers Watson","$524,500"
"MM SIMCORP INFRASTRUCTURE AND SOFTWARE UPGRADE SEED FUNDING - $461,250","MM SIMCORP INFRASTRUCTURE AND SOFTWARE UPGRADE SEED FUNDING",461250,582,"AI",57,"Phoenix","United States","USA","Arizona",33.5722,-112.0891,"The Retirement Group","$461,250"
"GBM CLIENT DATA REMEDIATION - $999,873","GBM CLIENT DATA REMEDIATION",999873.36,608,"AI",57,"Phoenix","United States","USA","Arizona",33.5722,-112.0891,"Vanna Consulting","$999,873"
"WAVE 5 - W3 IT ECOSYSTEM 10 - $612,876","WAVE 5 - W3 IT ECOSYSTEM 10",612875.66,638,"AI",58,"Seattle","United States","USA","Washington",47.6211,-122.3244,"Zurich Dublin","$612,876"
"WINDOWS 10 UPGRADE ATM CARIBBEAN - $225,630","WINDOWS 10 UPGRADE ATM CARIBBEAN",225630,576,"AI",59,"San Francisco","United States","USA","California",37.7562,-122.443,"Teleios","$225,630"
"AFT CREDIT ADJUSTMENTS - $23,770,318","AFT CREDIT ADJUSTMENTS",23770318.09,35,"AI",60,"San Jose","United States","USA","California",37.3019,-121.8486,"Argentina Clearing","$23,770,318"
"DYNAMIC ADVISOR SITE - DAS UPGRADE - $11,917,558","DYNAMIC ADVISOR SITE - DAS UPGRADE",11917557.5,99,"AI",60,"San Jose","United States","USA","California",37.3019,-121.8486,"British Computer Society (BCS) - The Chartered Society for IT","$11,917,558"
"DP-AS400 ENHANCED MONITORING - $585,000","DP-AS400 ENHANCED MONITORING",585000,335,"AI",60,"San Jose","United States","USA","California",37.3019,-121.8486,"JP Morgan AM","$585,000"
"SANCTIONS HOTSCAN IMMEDIATE NEEDS - $4,155,118","SANCTIONS HOTSCAN IMMEDIATE NEEDS",4155118.2,76,"AI",61,"Cleveland","United States","USA","Ohio",41.4767,-81.6804,"BBVA","$4,155,118"
"E COMM SURVEILLANCE - APAC - $2,880,092","E COMM SURVEILLANCE - APAC",2880091.7,440,"AI",61,"Cleveland","United States","USA","Ohio",41.4767,-81.6804,"Nyland (family office)","$2,880,092"
"OUTGOING WIRE ENHANCEMENTS IN ETELLER - $3,240,017","OUTGOING WIRE ENHANCEMENTS IN ETELLER",3240017.2,549,"AI",61,"Cleveland","United States","USA","Ohio",41.4767,-81.6804,"Sovereign Capital Management Group Inc","$3,240,017"
"LEADERSHIP & TALENT MANAGEMENT - $2,840,000","LEADERSHIP & TALENT MANAGEMENT",2840000,477,"AI",62,"Pittsburgh","United States","USA","Pennsylvania",40.4396,-79.9762,"Push Technology","$2,840,000"
"GBM CUSTOMER DATA PROGRAM - $980,450","GBM CUSTOMER DATA PROGRAM",980450,27,"DotNet",3,"Brisbane","Australia","AUS","Queensland",-27.4678,153.0281,"Anthos","$980,450"
"RECONCILIATION CONTROLS N REPORTING MX - CO - $1,393,628","RECONCILIATION CONTROLS N REPORTING MX - CO",1393628.04,320,"DotNet",3,"Brisbane","Australia","AUS","Queensland",-27.4678,153.0281,"JAPAN BANK FOR INT'L COOPERATION","$1,393,628"
"EQUILEND AUTOMATION - $1,701,500","EQUILEND AUTOMATION",1701500,37,"DotNet",4,"Perth","Australia","AUS","Western Australia",-31.9522,115.8589,"Artemis","$1,701,500"
"AML - IB CONECTADO - $25,729,695","AML - IB CONECTADO",25729695.4,176,"DotNet",4,"Perth","Australia","AUS","Western Australia",-31.9522,115.8589,"DCCC","$25,729,695"
"SMA IMPLEMENTATION - $739,000","SMA IMPLEMENTATION",739000,191,"DotNet",4,"Perth","Australia","AUS","Western Australia",-31.9522,115.8589,"DNU - (Use Deutsche Bank)","$739,000"
"INITIAL MARGIN PROGRAM PHASE 5 - $4,676,848","INITIAL MARGIN PROGRAM PHASE 5",4676848.2,251,"DotNet",4,"Perth","Australia","AUS","Western Australia",-31.9522,115.8589,"G4S Jersey","$4,676,848"
"AML OPS 2021 STRATEGY - $420,220","AML OPS 2021 STRATEGY",420220,299,"DotNet",4,"Perth","Australia","AUS","Western Australia",-31.9522,115.8589,"Insight Investment","$420,220"
